reactions,reactants,products
1,[1],[2]
2,"[2, 3]","[11, 4, 16]"
3,[4],"[5, 8]"
4,[5],[8]
5,"[6, 7, 8]","[22, 16, 12]"
6,"[9, 8, 10]","[41, 16, 13]"
7,"[11, 12]","[13, 3]"
8,[13],[14]
9,[14],"[15, 10]"
10,"[11, 15, 16]","[3, 23]"
11,"[17, 3]","[11, 18, 16]"
12,[18],[19]
13,"[19, 10]","[20, 210]"
14,"[20, 10]","[2, 154, 16]"
15,[21],[2]
16,"[22, 16, 23]","[209, 6]"
17,"[24, 16, 23]","[25, 217]"
18,"[25, 26]","[220, 28]"
19,"[27, 24, 26]","[220, 28]"
20,"[28, 6]","[24, 22, 16]"
21,"[28, 6]","[24, 22, 16]"
22,"[28, 6]","[24, 22, 16]"
23,"[28, 6]","[24, 22, 16]"
24,"[28, 6]","[24, 22, 16]"
25,"[28, 6]","[24, 22, 16]"
26,"[28, 6]","[24, 22, 16]"
27,[29],[30]
28,[30],[31]
29,"[31, 3]","[38, 36, 16]"
30,[32],[31]
31,[33],[34]
32,[34],"[27, 8]"
33,"[35, 36]","[38, 42]"
34,"[37, 7]","[32, 35]"
35,"[38, 3]",[11]
36,"[11, 39]","[45, 10, 40]"
37,"[40, 16, 41]","[9, 39]"
38,"[10, 42]","[7, 16]"
39,"[43, 7]","[33, 35]"
40,"[43, 3]","[11, 16, 44]"
41,"[44, 3]","[45, 11]"
42,"[15, 45, 16]","[189, 23]"
43,"[45, 12]","[13, 189]"
44,"[36, 46]","[48, 42]"
45,"[47, 7]","[32, 46]"
46,"[48, 3]","[11, 49]"
47,"[39, 49]","[10, 40, 52]"
48,"[15, 16, 49]","[185, 23]"
49,"[49, 12]","[185, 13]"
50,"[50, 7]","[33, 46]"
51,"[50, 3]","[11, 16, 51]"
52,"[3, 51]","[11, 52]"
53,"[15, 52, 16]","[187, 23]"
54,"[52, 12]","[13, 187]"
55,"[53, 36]","[54, 42]"
56,"[54, 3]","[11, 55]"
57,"[15, 16, 55]","[66, 23]"
58,"[39, 55]","[10, 40, 65]"
59,"[56, 3]","[11, 57]"
60,"[15, 57, 16]","[71, 23]"
61,"[57, 39]","[10, 40, 60]"
62,"[58, 3]","[11, 59, 16]"
63,"[59, 3]","[11, 60]"
64,"[15, 60, 16]","[70, 23]"
65,"[61, 3]","[11, 68, 16]"
66,"[62, 3]","[11, 63, 16]"
67,"[63, 3]","[11, 64]"
68,"[15, 64, 16]","[188, 23]"
69,"[15, 65, 16]","[69, 23]"
70,"[3, 66, 67, 10]","[11, 71, 124, 7, 16]"
71,"[3, 68, 67, 10]","[11, 59, 124, 7, 16]"
72,"[59, 10]","[154, 68]"
73,"[69, 10]","[68, 42, 16]"
74,"[70, 10]","[59, 42, 16]"
75,"[70, 10]","[60, 7, 16]"
76,"[60, 10]","[59, 7, 16]"
77,"[71, 10]","[56, 42, 16]"
78,"[63, 10]","[62, 7]"
79,"[68, 10]","[61, 7]"
80,"[51, 10]","[50, 7]"
81,"[44, 10]","[43, 7]"
82,"[48, 10]","[47, 7]"
83,"[72, 3]","[78, 11, 16]"
84,"[73, 26]","[74, 77, 16]"
85,"[74, 10]","[38, 7]"
86,"[75, 3]","[76, 11]"
87,"[76, 77]","[79, 7]"
88,"[76, 78]","[80, 7]"
89,"[79, 80]","[81, 77]"
90,"[81, 71, 16]","[82, 42]"
91,"[82, 78]","[56, 83, 16]"
92,"[10, 83]","[7, 84]"
93,[84],"[192, 72]"
94,"[10, 81]","[88, 7]"
95,[1],[85]
96,"[85, 66, 16]","[86, 42]"
97,[86],[87]
98,[87],[89]
99,"[88, 89]","[205, 16, 55]"
100,[89],"[90, 55, 16]"
101,"[90, 88]","[195, 16, 55]"
102,"[91, 10]",[126]
103,"[92, 10]",[139]
104,"[93, 10]",[124]
105,"[94, 10]",[149]
106,"[95, 10]",[116]
107,"[96, 10]",[147]
108,"[97, 10]",[113]
109,"[98, 10]",[120]
110,"[99, 10]",[67]
111,"[100, 10]",[143]
112,"[101, 10]",[142]
113,"[102, 10]",[137]
114,"[103, 10]",[146]
115,"[104, 10]",[134]
116,"[105, 10]",[131]
117,"[106, 10]",[128]
118,"[107, 10]",[118]
119,"[108, 10]",[133]
120,"[109, 10]",[110]
121,"[10, 3, 110]","[7, 42, 221]"
122,"[10, 111]","[218, 37]"
123,"[67, 10, 112, 3]","[169, 11, 124, 7, 16]"
124,"[10, 112, 113, 3]","[169, 11, 7, 16, 139]"
125,"[114, 110, 3]","[159, 38, 42]"
126,"[115, 116, 3]","[170, 38, 42]"
127,"[117, 118, 3]","[164, 38, 42]"
128,"[119, 120, 3]","[38, 183, 42]"
129,"[121, 3, 122]","[38, 42, 179]"
130,"[123, 124, 3]","[180, 38, 42]"
131,"[124, 3, 125]","[112, 38, 42]"
132,"[126, 127, 3]","[38, 166, 42]"
133,"[128, 129, 3]","[38, 175, 42]"
134,"[130, 131, 3]","[38, 181, 42]"
135,"[132, 133, 3]","[171, 38, 42]"
136,"[134, 135, 3]","[38, 176, 42]"
137,"[136, 3, 137]","[172, 38, 42]"
138,"[138, 139, 3]","[38, 165, 42]"
139,"[140, 113, 3]","[38, 177, 42]"
140,"[141, 142, 3]","[38, 42, 168]"
141,"[143, 3, 144]","[38, 178, 42]"
142,"[145, 146, 3]","[38, 182, 42]"
143,"[147, 148, 3]","[174, 38, 42]"
144,"[149, 150, 3]","[173, 38, 42]"
145,"[151, 36, 16]","[152, 42]"
146,"[152, 16, 3]","[153, 42]"
147,"[153, 154, 3]","[38, 6, 42]"
148,"[6, 3]","[11, 9, 16]"
149,"[22, 3]","[11, 16, 41]"
150,"[155, 3]","[11, 156, 16]"
151,"[156, 16, 3]","[42, 201]"
152,"[157, 124, 3]","[163, 11, 7, 16]"
153,"[10, 158]","[160, 16]"
154,"[159, 160]","[161, 167, 16]"
155,"[161, 133]","[149, 10, 162]"
156,"[9, 162]","[158, 41]"
157,"[3, 163]","[11, 7, 158]"
158,"[10, 158]","[163, 16]"
159,"[164, 165, 166, 167, 3, 168, 169, 170, 10, 171, 172, 173, 174, 175, 176, 177, 159, 178, 179, 180, 181, 182, 183]","[130, 136, 129, 119, 114, 127, 123, 121, 148, 144, 141, 138, 117, 16, 115, 132, 7, 125, 11, 145, 150, 140, 184, 135, 211, 110]"
160,"[175, 164, 165, 166, 167, 3, 168, 169, 170, 10, 171, 173, 174, 176, 177, 159, 180, 182, 183]","[129, 119, 114, 127, 123, 148, 141, 138, 117, 16, 115, 132, 7, 125, 11, 145, 150, 140, 135, 211, 110, 73]"
161,"[164, 165, 166, 167, 3, 168, 169, 170, 10, 171, 172, 173, 174, 175, 176, 177, 159, 178, 179, 180, 181, 182, 183]","[130, 136, 129, 119, 114, 127, 123, 121, 148, 144, 141, 138, 117, 16, 115, 132, 7, 125, 11, 145, 150, 140, 135, 213, 211]"
162,"[164, 165, 166, 167, 3, 168, 169, 170, 10, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183]","[130, 136, 129, 119, 114, 127, 123, 121, 148, 144, 141, 138, 117, 16, 115, 132, 7, 125, 11, 145, 150, 140, 135, 191, 211]"
163,"[10, 184, 3]","[147, 128, 149, 131, 133, 113, 124, 120, 16, 137, 122, 126, 142, 134, 146, 7, 139, 110, 11, 67, 116, 118, 143]"
164,"[185, 66, 10, 71, 3]","[11, 186, 7, 16, 42]"
165,"[10, 186]","[48, 38, 56, 54, 16]"
166,"[187, 10, 188, 70, 3, 189]","[11, 190, 7, 16, 42]"
167,"[184, 190, 191, 143, 158, 186, 88, 192, 193, 188, 194, 126, 9, 195, 131, 196, 197, 198, 189, 199, 26, 133, 75, 200, 201, 67, 120, 110, 147, 185, 202, 124, 84, 134, 137, 66, 203, 146, 116, 113, 149, 70, 142, 128, 139, 122, 204, 205, 187, 71, 7, 118, 77, 3, 10]","[219, 11, 7, 16]"
168,"[16, 11, 7]","[10, 16, 3]"
169,"[206, 15]","[1, 23]"
170,"[207, 15]","[20, 23]"
171,"[208, 15]","[21, 23]"
172,"[17, 10, 3]","[17, 11, 7, 16]"
173,"[209, 16]","[209, 16]"
174,"[23, 16]","[23, 16]"
175,"[16, 210]","[16, 210]"
176,[72],[72]
177,[75],[75]
178,[202],[202]
179,[194],[194]
180,[27],[27]
181,[211],[211]
182,"[155, 10, 3]","[155, 11, 7, 16]"
183,"[199, 10, 3]","[199, 11, 7, 16]"
184,"[157, 10, 3]","[157, 11, 7, 16]"
185,"[151, 10, 3]","[151, 11, 7, 16]"
186,"[26, 10, 3]","[26, 11, 7, 16]"
187,"[198, 10, 3]","[11, 7, 16, 198]"
188,"[204, 10, 3]","[11, 7, 16, 204]"
189,"[212, 213, 10, 3]","[24, 142, 11, 7, 16]"
190,"[214, 10, 3]","[214, 11, 7, 16]"
191,"[58, 10, 3]","[58, 11, 7, 16]"
192,"[215, 10, 3]","[215, 11, 7, 16]"
193,"[61, 10, 3]","[61, 11, 7, 16]"
194,"[62, 10, 3]","[62, 11, 7, 16]"
195,"[37, 10, 3]","[37, 11, 7, 16]"
196,"[43, 10, 3]","[43, 11, 7, 16]"
197,"[47, 10, 3]","[47, 11, 7, 16]"
198,"[50, 10, 3]","[50, 11, 7, 16]"
199,"[53, 16]","[53, 16]"
200,"[46, 16]","[46, 16]"
201,"[35, 16]","[35, 16]"
202,[200],[200]
203,"[193, 200, 10, 3]","[193, 200, 11, 7, 16]"
204,"[200, 16]","[200, 16]"
205,"[203, 10, 3]","[203, 11, 7, 16]"
206,"[196, 10, 3]","[196, 11, 7, 16]"
207,[197],[197]
208,[16],[16]
209,"[7, 10, 3]","[11, 7, 16]"
210,"[91, 3, 10]","[91, 11, 7, 16]"
211,"[92, 3, 10]","[92, 11, 7, 16]"
212,"[93, 3, 10]","[93, 11, 7, 16]"
213,"[94, 3, 10]","[94, 11, 7, 16]"
214,"[95, 3, 10]","[95, 11, 7, 16]"
215,"[96, 3, 10]","[96, 11, 7, 16]"
216,"[97, 3, 10]","[97, 11, 7, 16]"
217,"[98, 3, 10]","[98, 11, 7, 16]"
218,"[99, 3, 10]","[99, 11, 7, 16]"
219,"[100, 3, 10]","[100, 11, 7, 16]"
220,"[101, 3, 10]","[101, 11, 7, 16]"
221,"[102, 3, 10]","[102, 11, 7, 16]"
222,"[103, 3, 10]","[103, 11, 7, 16]"
223,"[104, 3, 10]","[104, 11, 7, 16]"
224,"[105, 3, 10]","[105, 11, 7, 16]"
225,"[106, 3, 10]","[106, 11, 7, 16]"
226,"[107, 3, 10]","[107, 11, 7, 16]"
227,"[108, 3, 10]","[108, 11, 7, 16]"
228,"[109, 3, 10]","[109, 11, 7, 16]"
229,"[126, 16]","[126, 16]"
230,"[139, 16]","[139, 16]"
231,"[122, 16]","[122, 16]"
232,"[124, 16]","[124, 16]"
